Name,Address 1,Address 2,Town/City,County,Postcode,Phone number,CQC Provider ID (for office use only),CQC Location ID (for office use only),Website,Local authority,Region,Report publication date,URL,Also known as,Specialisms/services,Service types,Provider name
Wellington Lodge,334a Waterloo Road,Cheetham,Manchester,Greater Manchester,M8 0AX,1617408549.0,1-102642895,1-126242409,http://www.anchor.org.uk,Manchester,North West,2018-11-01T00:00:00Z,http://www.cqc.org.uk/location/1-126242409,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs",Residential homes,Anchor Hanover Group
Abafields Residential Home,3-9 Bromwich Street,,Bolton,Lancashire,BL2 1JF,1204399414.0,1-101680858,1-115752514,,Bolton,North West,2019-12-06T00:00:00Z,http://www.cqc.org.uk/location/1-115752514,,Caring for adults over 65 yrs,Residential homes,Coulson & Collins Care Home Ltd
Norton Street,28 Norton Street,Old Trafford,Manchester,Lancashire,M16 7GQ,1612262979.0,1-101656493,1-121233192,http://www.deepdenecare.org,Trafford,North West,2019-07-24T23:00:00Z,http://www.cqc.org.uk/location/1-121233192,,Mental health conditions,Residential homes,Deepdene Care Limited
Hillbrook Grange,Ack Lane East,Bramhall,Stockport,Cheshire,SK7 2BY,1614397377.0,1-377343462,1-403091251,,Stockport,North West,2021-02-06T00:00:00Z,http://www.cqc.org.uk/location/1-403091251,,Caring for adults over 65 yrs,Residential homes,Hillbrook Grange Residential Care Home
Clare Mount,376-378,"Rochdale Road, Middleton",Manchester,,M24 2QQ,1616433317.0,1-5579512885,1-6184206013,,Rochdale,North West,2021-01-14T00:00:00Z,http://www.cqc.org.uk/location/1-6184206013,,"Sensory impairments,Dementia,Mental health conditions,Caring for adults over 65 yrs",Nursing homes,Rose Petals Health Care Ltd
Gorsey Clough Nursing Home,Harwood Road,Tottington,Bury,Lancashire,BL8 3PT,1204882976.0,1-101682163,1-121411935,http://www.gorseyclough.co.uk,Bury,North West,2020-11-03T00:00:00Z,http://www.cqc.org.uk/location/1-121411935,,"Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Gorsey Clough Nursing Home Limited
Mornington House,10 Ashfield Lane,Milnrow,Rochdale,Greater Manchester,OL16 4EW,1706633777.0,1-138372613,1-253469155,,Rochdale,North West,2020-11-19T00:00:00Z,http://www.cqc.org.uk/location/1-253469155,,Learning disabilities,Residential homes,Wellesley House Limited
Starmount Villa Residential Care Home,Browns Road,Bradley Fold,Bolton,Lancashire,BL2 6RG,1204525811.0,1-101615273,1-124046985,,Bury,North West,2020-11-20T00:00:00Z,http://www.cqc.org.uk/location/1-124046985,,"Dementia,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Starmount Villa Residential Care Limited
Cherry Tree House,167 Compstall Road,Romiley,Stockport,Cheshire,SK6 4JA,1614496220.0,1-759641720,1-822547536,http://www.lmhealthcare.co.uk,Stockport,North West,2021-02-05T00:00:00Z,http://www.cqc.org.uk/location/1-822547536,,"Dementia,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,London And Manchester Healthcare (Romiley) Ltd
Chorlton Place Nursing Home,290 Wilbraham Road,,Manchester,Lancashire,M16 8LT,1618820102.0,1-305829465,1-319279330,http://www.hc-one.co.uk/homes/chorlton-place,Manchester,North West,2020-01-11T00:00:00Z,http://www.cqc.org.uk/location/1-319279330,,Caring for adults over 65 yrs,Nursing homes,HC-One Limited
Devonshire House,2 Devonshire Street,,Manchester,,M12 4BB,1613596247.0,1-102643122,1-9943565245,,Manchester,North West,,http://www.cqc.org.uk/location/1-9943565245,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Voyage 1 Limited
Holly Court Care Home,8 Priory Grove,,Salford,,M7 2HT,1617080174.0,1-4287806170,1-10040429539,,Salford,North West,2021-01-01T00:00:00Z,http://www.cqc.org.uk/location/1-10040429539,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs",Residential homes,SPV4 Limited
Archmoor Care Home,116 Sandy Lane,Middleton,Manchester,Greater Manchester,M24 2FU,1616532454.0,1-145336442,1-213432384,http://www.archmoor.co.uk,Rochdale,North West,2020-03-17T00:00:00Z,http://www.cqc.org.uk/location/1-213432384,,Caring for adults over 65 yrs,Residential homes,Archmoor Care Limited
Lakeside Residential Care Home,Smithy Bridge Road,,Littleborough,Lancashire,OL15 0DB,1706377766.0,1-4950069705,1-6520249041,http://www.franklincaregroup.co.uk,Rochdale,North West,2017-09-19T23:00:00Z,http://www.cqc.org.uk/location/1-6520249041,,"Dementia,Caring for adults over 65 yrs",Residential homes,Franklin Care Group Limited
St Catherine's Care Home,5 Queen Street,Horwich,Bolton,Lancashire,BL6 5QU,1204668740.0,1-116865077,1-130725460,http://www.fshc.co.uk,Bolton,North West,2020-09-15T23:00:00Z,http://www.cqc.org.uk/location/1-130725460,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Tameng Care Limited
Meadway Court,Bramhall,,Stockport,Greater Manchester,SK7 1JZ,1614408150.0,1-101650168,1-119415822,http://www.boroughcare.org.uk,Stockport,North West,2020-02-25T00:00:00Z,http://www.cqc.org.uk/location/1-119415822,,"Dementia,Caring for adults over 65 yrs",Residential homes,Borough Care Ltd
Marion Lauder House,20 Lincombe Road,Wythenshawe,Manchester,Greater Manchester,M22 1PY,1614373246.0,1-101643674,1-150165713,http://www.careconcepts.co.uk,Manchester,North West,2020-02-18T00:00:00Z,http://www.cqc.org.uk/location/1-150165713,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs",Nursing homes,Careconcepts Limited
Church Walk,Cavendish Road,Kirkholt,Rochdale,Lancashire,OL11 2QX,1706717400.0,1-101688907,1-118018570,,Rochdale,North West,2020-12-30T00:00:00Z,http://www.cqc.org.uk/location/1-118018570,,"Caring for adults under 65 yrs,Mental health conditions,Caring for adults over 65 yrs",Nursing homes,Church Walk Health Care Limited
Ashley House Residential Home,155 Barlow Moor Road,,Manchester,Lancashire,M20 2YA,1614453776.0,1-906717072,1-1162706973,,Manchester,North West,2021-01-07T00:00:00Z,http://www.cqc.org.uk/location/1-1162706973,,"Dementia,Caring for adults over 65 yrs",Residential homes,ZMA Manchester Limited
Leighton House Retirement Home Limited,170-172 Milkstone Road,Deeplish,Rochdale,Lancashire,OL11 1NA,1706352075.0,1-101609858,1-117560249,,Rochdale,North West,2020-01-31T00:00:00Z,http://www.cqc.org.uk/location/1-117560249,,Caring for adults over 65 yrs,Residential homes,Leighton House Retirement Home Limited
The Willows,1 Murray Street,,Salford,Greater Manchester,M7 2DX,1617924809.0,1-101644158,1-123881140,,Salford,North West,2019-02-06T00:00:00Z,http://www.cqc.org.uk/location/1-123881140,,"Dementia,Caring for adults over 65 yrs",Nursing homes,Unity Homes Limited
Shawe House,Pennybridge Lane,Flixton,Manchester,Greater Manchester,M41 5DX,1617487867.0,1-101679550,1-120100265,,Trafford,North West,2017-08-14T23:00:00Z,http://www.cqc.org.uk/location/1-120100265,,Dementia,Nursing homes,Shawe House Nursing Home Limited
Lynmere Nursing Home,278 Buxton Road,Great Moor,Stockport,Greater Manchester,SK2 7AN,1614562634.0,1-101679987,1-114050182,,Stockport,North West,2017-12-08T00:00:00Z,http://www.cqc.org.uk/location/1-114050182,,"Caring for adults over 65 yrs,Physical disabilities",Nursing homes,RMD Care Services Limited
Beyer Lodge Nursing Home,65 Taylor Street,,Manchester,Lancashire,M18 8DF,1612237785.0,1-101727743,1-1298685547,,Manchester,North West,2017-08-03T23:00:00Z,http://www.cqc.org.uk/location/1-1298685547,,"Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs",Nursing homes,Making Space
Brookvale - Prestwich,Simister Lane,Prestwich,Manchester,Greater Manchester,M25 2SF,1616531767.0,1-101650213,1-121232638,,Bury,North West,2020-09-01T23:00:00Z,http://www.cqc.org.uk/location/1-121232638,,"Caring for adults under 65 yrs,Learning disabilities,Physical disabilities",Residential homes,Brookvale
Littleborough Home for the Elderly,Regent Street,,Littleborough,Lancashire,OL15 8BH,1706370801.0,1-101690037,1-127013737,,Rochdale,North West,2017-10-24T23:00:00Z,http://www.cqc.org.uk/location/1-127013737,,Caring for adults over 65 yrs,Residential homes,Littleborough Care Home Ltd
Passmonds House,Edenfield Road,,Rochdale,Lancashire,OL11 5AG,1706644483.0,1-101666725,1-118053437,,Rochdale,North West,2019-01-16T00:00:00Z,http://www.cqc.org.uk/location/1-118053437,,Caring for adults over 65 yrs,Residential homes,Denehurst Care Limited
Oaklands House,119 Rochdale Road,Milnrow,Rochdale,Lancashire,OL16 4DU,1706750790.0,1-365005587,1-375618181,,Rochdale,North West,2018-05-30T23:00:00Z,http://www.cqc.org.uk/location/1-375618181,,"Caring for adults under 65 yrs,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs","Residential homes,Homecare agencies,Supported living",Calton Systems Limited
Firs Hall Care Home Limited,Firs Avenue,Oldham Road,Manchester,Lancashire,M35 0BL,1616835154.0,1-126113593,1-145973567,,Oldham,North West,2018-12-25T00:00:00Z,http://www.cqc.org.uk/location/1-145973567,,"Dementia,Caring for adults over 65 yrs",Residential homes,Firs Hall Care Home Ltd
Mona Cliffe Care Home,Black Stone edge Old Road,,Littleborough,Lancashire,OL15 0JG,1706372566.0,1-101712600,1-121612408,,Rochdale,North West,2019-09-06T23:00:00Z,http://www.cqc.org.uk/location/1-121612408,,Caring for adults over 65 yrs,Residential homes,Dr R K Sharma
Headonhey,34 Harboro Road,,Sale,Cheshire,M33 5AH,1619693527.0,1-101655108,1-113737059,http://www.stockdales.org.uk,Trafford,North West,2020-02-11T00:00:00Z,http://www.cqc.org.uk/location/1-113737059,,Learning disabilities,Residential homes,"Stockdales Of Sale, Altrincham & District Ltd"
Rosemount Care Home,133 Cheadle Old Road,Edgeley,Stockport,Greater Manchester,SK3 9RH,1614771572.0,1-101682181,1-118382072,http://www.rosemountcare.co.uk,Stockport,North West,2019-08-23T23:00:00Z,http://www.cqc.org.uk/location/1-118382072,,Caring for adults over 65 yrs,Residential homes,Rosemount Care Home Ltd
Eachstep Blackley,198 Charlestown Road,Blackley,Manchester,Greater Manchester,M9 7ED,1617956641.0,1-102643088,1-443756489,http://www.each-step.co.uk,Manchester,North West,2019-07-08T23:00:00Z,http://www.cqc.org.uk/location/1-443756489,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Community Integrated Care
Half Acre House,Roch Valley Way,,Rochdale,Lancashire,OL11 4DB,1706861098.0,1-101630273,1-137885637,,Rochdale,North West,2018-06-05T23:00:00Z,http://www.cqc.org.uk/location/1-137885637,,Caring for adults over 65 yrs,Residential homes,Mrs Anita Lewis
Wingates Residential Home,95 Chorley Road,Westhoughton,Bolton,Lancashire,BL5 3PG,1942813840.0,1-101630156,1-152739189,,Bolton,North West,2019-11-20T00:00:00Z,http://www.cqc.org.uk/location/1-152739189,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs",Residential homes,Wingate Care Homes Ltd
Pendleton Court Care Home,22 Chaplin Close,Chaseley Road,Salford,Greater Manchester,M6 8FW,1617439798.0,1-305829465,1-320530068,http://www.hc-one.co.uk/homes/pendleton-court,Salford,North West,2021-01-08T00:00:00Z,http://www.cqc.org.uk/location/1-320530068,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,HC-One Limited
Amadeus,Hampden Grove,"Patricroft, Eccles",Manchester,Greater Manchester,M30 0QU,1617878638.0,1-101712456,1-131420828,,Salford,North West,2020-11-12T00:00:00Z,http://www.cqc.org.uk/location/1-131420828,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities","Residential homes,Rehabilitation (illness/injury)",Mr Bradley Scott Jones & Mr Russell Scott Jones
York Lodge Residential Home,54-56 Crofts Bank Road,Urmston,Manchester,Lancashire,M41 0UH,1617482315.0,1-101712492,1-206525971,,Trafford,North West,2020-12-18T00:00:00Z,http://www.cqc.org.uk/location/1-206525971,,"Sensory impairments,Dementia,Caring for adults over 65 yrs",Residential homes,Mr Alan Machen and Mrs Ann Crowe
Heath Cottage,119 Station Road,"Pendlebury, Swinton",Manchester,Greater Manchester,M27 6BU,1617941658.0,1-101678323,1-129432735,,Salford,North West,2019-08-29T23:00:00Z,http://www.cqc.org.uk/location/1-129432735,,"Dementia,Caring for adults over 65 yrs",Residential homes,Heath Cottage Care Home Ltd
Abbeydale Residential Care Home - Bury,179 Bolton Road,,Bury,Lancashire,BL8 2NR,1617615613.0,1-101690348,1-119815378,http://www.abbeydalecarehome.com,Bury,North West,2021-01-15T00:00:00Z,http://www.cqc.org.uk/location/1-119815378,,Caring for adults over 65 yrs,Residential homes,Prime Healthcare (Bury) Limited
Max Potential,6 Meltham Place,Back Willows Lane,Bolton,Lancashire,BL3 4AD,1204416903.0,1-713087815,1-801021926,,Bolton,North West,2018-01-12T00:00:00Z,http://www.cqc.org.uk/location/1-801021926,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Eating disorders,Physical disabilities",Residential homes,Max Potential UK Ltd
Walkden Manor,41 Manchester Road,"Walkden, Worsley",Manchester,Greater Manchester,M28 3WS,1617609951.0,1-101617197,1-136348730,,Salford,North West,2019-03-19T00:00:00Z,http://www.cqc.org.uk/location/1-136348730,,"Dementia,Caring for adults over 65 yrs",Residential homes,Walkden Manor Care Home Ltd
Pendleton Care Limited - 384 Lower Broughton Road,386 Lower Broughton Road,,Salford,Greater Manchester,M7 2HH,1617926046.0,1-101678377,1-132122416,http://www.potensial.co.uk,Salford,North West,2018-08-08T23:00:00Z,http://www.cqc.org.uk/location/1-132122416,,Learning disabilities,Residential homes,Pendleton Care Limited
Treelands Care Home,Westerhill Road,Fitton Hill,Oldham,Lancashire,OL8 2QH,,1-9299348986,1-9513445383,,Oldham,North West,2018-05-16T23:00:00Z,http://www.cqc.org.uk/location/1-9513445383,,"Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs",Nursing homes,Postgrad Limited
Wellcroft,75 Church Road,Gatley,Stockport,Greater Manchester,SK8 4EY,1614285361.0,1-101650168,1-119415881,http://www.boroughcare.org.uk,Stockport,North West,2020-01-10T00:00:00Z,http://www.cqc.org.uk/location/1-119415881,,"Dementia,Caring for adults over 65 yrs",Residential homes,Borough Care Ltd
Hazelbrook Christian Nursing Home,1 Albert Street,Horwich,Bolton,Lancashire,BL6 7AW,1204693175.0,1-101679361,1-120366642,,Bolton,North West,2018-02-23T00:00:00Z,http://www.cqc.org.uk/location/1-120366642,,"Dementia,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Pindy Enterprises Limited
Four Seasons,Breightmet Fold Lane,,Bolton,Lancashire,BL2 6PP,1204392005.0,1-305829465,1-320350484,http://www.hc-one.co.uk/homes/four-seasons,Bolton,North West,2020-11-18T00:00:00Z,http://www.cqc.org.uk/location/1-320350484,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs",Nursing homes,HC-One Limited
The Clough Care Home,Chorley New Road,,Bolton,Lancashire,BL1 5BB,1204492488.0,1-101645153,1-145996878,http://www.pearlcare.co.uk,Bolton,North West,2019-09-03T23:00:00Z,http://www.cqc.org.uk/location/1-145996878,,Caring for adults over 65 yrs,Residential homes,Aegis Residential Care Homes Limited
Alexander Care Home,164 Rochdale Road,,Bury,Lancashire,BL9 7BY,1617971104.0,1-1765849380,1-1782986126,,Bury,North West,2019-08-07T23:00:00Z,http://www.cqc.org.uk/location/1-1782986126,,"Dementia,Caring for adults over 65 yrs",Residential homes,Fidelity Residential Ltd
Knightswood Care Home,Off Manchester Road,Blackrod,Bolton,Lancashire,BL6 5LS,1204692689.0,1-101642657,1-138245037,,Bolton,North West,2020-11-13T00:00:00Z,http://www.cqc.org.uk/location/1-138245037,,"Dementia,Caring for adults over 65 yrs","Nursing homes,Residential homes",Knightswood Residential Home for the Elderly Limited
Sunrise of Bramhall,1 Dairyground Road,Bramhall,Stockport,Greater Manchester,SK7 2HW,1614402200.0,1-116995093,1-7866841740,http://www.sunrise-care.co.uk,Stockport,North West,2018-06-01T23:00:00Z,http://www.cqc.org.uk/location/1-7866841740,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs",Nursing homes,Sunrise UK Operations Limited
Queens Park View,102 Park Road,,Bolton,Lancashire,BL1 4RQ,1204386186.0,1-144638909,1-220117241,http://www.intelligentcare.co.uk,Bolton,North West,2020-02-28T00:00:00Z,http://www.cqc.org.uk/location/1-220117241,,"Caring for adults under 65 yrs,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs","Residential homes,Homecare agencies",Intelligent Care Limited
Stansfield Hall Care Home,Temple Lane,,Littleborough,Lancashire,OL15 9QH,1706370096.0,1-101712609,1-134565158,,Rochdale,North West,2019-12-06T00:00:00Z,http://www.cqc.org.uk/location/1-134565158,,Caring for adults over 65 yrs,Residential homes,Rajanikanth Selvanandan
Rosemary Care Home,13 Newhey Road,Milnrow,Rochdale,Lancashire,OL16 3NP,1706650429.0,1-748123150,1-886518613,,Rochdale,North West,2020-05-06T23:00:00Z,http://www.cqc.org.uk/location/1-886518613,,"Sensory impairments,Dementia,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Rosemary Care Home Limited
De Brook Lodge,110 Irlam Road,Flixton,Manchester,Greater Manchester,M41 6NA,1617559750.0,1-272982643,1-1411133409,http://www.idealcarehomes.co.uk,Trafford,North West,2020-09-28T23:00:00Z,http://www.cqc.org.uk/location/1-1411133409,,"Dementia,Caring for adults over 65 yrs",Residential homes,Ideal Carehomes (Number One) Limited
Take A Break With Choices,9 Chadwick Street,The Hough,Bolton,Lancashire,BL2 1JN,1204393072.0,1-101720379,1-869756624,,Bolton,North West,2020-04-15T23:00:00Z,http://www.cqc.org.uk/location/1-869756624,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities","Residential homes,Homecare agencies",Freda Varley
Marland Court,Marland Old Road,,Rochdale,Lancashire,OL11 4QY,1706638449.0,1-101678485,1-117886106,,Rochdale,North West,2021-01-19T00:00:00Z,http://www.cqc.org.uk/location/1-117886106,,Caring for adults over 65 yrs,Residential homes,Elizabeth House (Oldham) Limited
Allingham House Care Centre,Deansgate Lane,Timperley,Altrincham,Cheshire,WA15 6SQ,1619291783.0,1-1907867721,1-1938268568,,Trafford,North West,2021-01-15T00:00:00Z,http://www.cqc.org.uk/location/1-1938268568,,"Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs",Nursing homes,Maria Mallaband 16 Limited
Elizabeth House,147-155 Walshaw Road,,Bury,Lancashire,BL8 1NH,1612047082.0,1-3530752017,1-4158735604,http://www.elizabethhousecarehomebury.co.uk,Bury,North West,2021-01-13T00:00:00Z,http://www.cqc.org.uk/location/1-4158735604,,Caring for adults over 65 yrs,Residential homes,Churchlake Care Ltd
Langfield Nursing and Residential Home,Wood Street,Middleton,Manchester,,M24 5QH,1616535319.0,1-2155127236,1-2595827705,,Rochdale,North West,2021-01-15T00:00:00Z,http://www.cqc.org.uk/location/1-2595827705,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs",Nursing homes,Indigo Care Services Limited
Short Break Service,144 Wythenshawe Road,,Manchester,Lancashire,M23 0PF,1619020951.0,R0A,R0AX1,http://www.mft.nhs.uk,Manchester,North West,2020-12-30T00:00:00Z,http://www.cqc.org.uk/location/R0AX1,,"Caring for adults under 65 yrs,Learning disabilities,Caring for adults over 65 yrs",Residential homes,Manchester University NHS Foundation Trust
Avalon Park Care Home,Dove Street,Salem,Oldham,Lancashire,OL4 5HG,1616335500.0,1-305829465,1-319143351,http://www.hc-one.co.uk/homes/avalon-park,Oldham,North West,2019-08-05T23:00:00Z,http://www.cqc.org.uk/location/1-319143351,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Residential homes,HC-One Limited
The Riverside Nursing Home,9 Church Street,,Littleborough,Lancashire,OL15 8DA,1706372647.0,1-1553474414,1-1619184892,,Rochdale,North West,2019-08-27T23:00:00Z,http://www.cqc.org.uk/location/1-1619184892,,"Dementia,Caring for adults over 65 yrs",Nursing homes,Dentak Care and Services Limited
Grove Lodge Care Home,62 Buxton Road,Hazel Grove,Stockport,Greater Manchester,SK7 6AF,1614838654.0,1-101620326,1-127130534,,Stockport,North West,2018-07-06T23:00:00Z,http://www.cqc.org.uk/location/1-127130534,,"Dementia,Mental health conditions,Caring for adults over 65 yrs",Residential homes,I Care International Limited
Timperley Care Home,53d Mainwood Road,Timperley,Altrincham,Cheshire,WA15 7JW,1619808001.0,1-305420983,1-307692210,,Trafford,North West,2019-10-25T23:00:00Z,http://www.cqc.org.uk/location/1-307692210,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs",Nursing homes,Hestia Healthcare Properties Limited
Abbeycliffe Residential Care Home,50 School Street,Radcliffe,Manchester,Lancashire,M26 3BP,1618502851.0,1-518867708,1-694462901,http://www.abbeycliffe.co.uk,Bury,North West,2020-03-10T00:00:00Z,http://www.cqc.org.uk/location/1-694462901,,Caring for adults over 65 yrs,Residential homes,Abbeycliffe Limited
The Elton Unit - The Priory Highbank Centre,Walshaw Road,,Bury,Lancashire,BL8 3AS,1706829540.0,1-118166439,1-127027782,http://www.priorygroup.com,Bury,North West,2018-10-09T23:00:00Z,http://www.cqc.org.uk/location/1-127027782,,"Sensory impairments,Caring for adults under 65 yrs,Caring for adults over 65 yrs,Physical disabilities","Nursing homes,Rehabilitation (illness/injury)",Priory Rehabilitation Services Limited
Walshaw Hall,Bradshaw Road,Tottington,Bury,Lancashire,BL8 3PJ,1204884005.0,1-101648728,1-117999448,http://www.walshawhall.co.uk,Bury,North West,2019-12-20T00:00:00Z,http://www.cqc.org.uk/location/1-117999448,,"Sensory impairments,Dementia,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Capstone Care Limited
Sunnyside Residential Home,Adelaide Street,,Bolton,Lancashire,BL3 3NY,1204653694.0,1-101679119,1-112580129,http://www.sunnysideresidentialhome.com,Bolton,North West,2020-09-16T23:00:00Z,http://www.cqc.org.uk/location/1-112580129,,"Dementia,Caring for adults over 65 yrs",Residential homes,Parfen Limited
Briarmede Care Home,426-428 Rochdale Road,Middleton,Manchester,Greater Manchester,M24 2QW,1616532247.0,1-303315617,1-322331606,,Rochdale,North West,2019-11-19T00:00:00Z,http://www.cqc.org.uk/location/1-322331606,,Caring for adults over 65 yrs,Residential homes,Briarmede Care Limited
Kenyon Lodge,99 Manchester Road West,Little Hulton,Manchester,Greater Manchester,M38 9DX,1617904448.0,1-101618653,1-143870775,,Salford,North West,2019-05-14T23:00:00Z,http://www.cqc.org.uk/location/1-143870775,,Caring for adults over 65 yrs,Nursing homes,Trees Park (Kenyon) Limited
Stoneleigh House,Cooper Street,,Oldham,Lancashire,OL4 4QS,1616245983.0,1-101667914,1-125056382,,Oldham,North West,2021-01-27T00:00:00Z,http://www.cqc.org.uk/location/1-125056382,,"Sensory impairments,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Masterpalm Properties Limited
Shannon Court Care Centre,112-114 Radcliffe Road,,Bolton,Lancashire,BL2 1NY,1204396641.0,1-4513002666,1-4699662483,http://www.shannoncourt.co.uk,Bolton,North West,2020-04-01T23:00:00Z,http://www.cqc.org.uk/location/1-4699662483,Shannon Court Care Centre,"Sensory impairments,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Shannon Court Care Home Limited
Bange Nursing Homes Limited t/a Bradley House Nursing Home,2 Brooklands Crescent,,Sale,Greater Manchester,M33 3NB,1619732580.0,1-101650275,1-118462477,http://www.bangenursinghomes.com,Trafford,North West,2019-10-18T23:00:00Z,http://www.cqc.org.uk/location/1-118462477,,"Dementia,Caring for adults over 65 yrs",Nursing homes,Bange Nursing Homes Limited
Carr Bank House,9-11 Heywood Street,,Bury,,BL9 7EB,1617977130.0,1-6453661454,1-8503536985,,Bury,North West,2018-05-22T23:00:00Z,http://www.cqc.org.uk/location/1-8503536985,,"Caring for adults under 65 yrs,Mental health conditions,Caring for adults over 65 yrs",Residential homes,CarrBank House Ltd
Braeside Care Home,8 Royal Street,Smallbridge,Rochdale,Lancashire,OL16 2PU,1706526080.0,1-120628903,1-137357818,,Rochdale,North West,2019-04-18T23:00:00Z,http://www.cqc.org.uk/location/1-137357818,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs",Nursing homes,East And West Healthcare Limited
The Old Vicarage,Ivy Bank Road,,Bolton,Lancashire,BL1 7EQ,1204594736.0,1-101678200,1-114131554,http://www.macdonaldcare.co.uk,Bolton,North West,2020-08-27T23:00:00Z,http://www.cqc.org.uk/location/1-114131554,,Caring for adults over 65 yrs,Residential homes,Macdonald Care Limited
Browfield Residential Home,159-161,Walmersley Road,Bury,,BL9 5DE,1617978457.0,1-101666725,1-9324387624,,Bury,North West,2021-01-07T00:00:00Z,http://www.cqc.org.uk/location/1-9324387624,,Mental health conditions,Residential homes,Denehurst Care Limited
Abbeywood Tottington Limited,104 Market Street,Tottington,Bury,Lancashire,BL8 3LS,1204882370.0,1-101609039,1-115197083,http://www.abbeywood-bury.co.uk,Bury,North West,2021-01-09T00:00:00Z,http://www.cqc.org.uk/location/1-115197083,,Caring for adults over 65 yrs,Residential homes,Abbeywood (Tottington) Limited
Park House Residential Care Home,77 Queens Road,,Oldham,Lancashire,OL8 2BA,1616260802.0,1-101662262,1-112890157,,Oldham,North West,2020-12-15T00:00:00Z,http://www.cqc.org.uk/location/1-112890157,,"Dementia,Caring for adults over 65 yrs",Residential homes,Park House Residential Care Limited
Lime Tree House,264 Washway Road,,Sale,Cheshire,M33 4RZ,1619737956.0,1-101668691,1-113502228,http://www.limetreehouse.org.uk,Trafford,North West,2017-10-06T23:00:00Z,http://www.cqc.org.uk/location/1-113502228,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Mountlands Trust Limited
The Brandles,23-25 Birks Drive,,Bury,Lancashire,BL8 1JA,1617976367.0,1-101712312,1-120337833,,Bury,North West,2020-02-01T00:00:00Z,http://www.cqc.org.uk/location/1-120337833,,"Caring for adults under 65 yrs,Mental health conditions",Residential homes,Mr R & Mrs C Fagbadegun
Beechwood Lodge,Meadow View,Norden,Rochdale,Lancashire,OL12 7PB,1706860369.0,1-131464996,1-1673014879,http://www.berrycroftcare.co.uk,Rochdale,North West,2020-02-04T00:00:00Z,http://www.cqc.org.uk/location/1-1673014879,,"Dementia,Caring for adults over 65 yrs",Residential homes,Finbrook Limited
Ashgrove House Care Limited,72 Butterworth Lane,Chadderton,Oldham,Lancashire,OL9 8DX,1616812183.0,1-101674623,1-124801409,,Oldham,North West,2019-07-02T23:00:00Z,http://www.cqc.org.uk/location/1-124801409,,"Dementia,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Ashgrove House Care Limited
Lyndhurst Residential Care Home,120 Manchester Old Road,Middleton,Manchester,Greater Manchester,M24 4DY,1616439222.0,1-128034660,1-169634886,,Rochdale,North West,2021-01-07T00:00:00Z,http://www.cqc.org.uk/location/1-169634886,,Caring for adults over 65 yrs,Residential homes,Atlantis Medicare Limited
