TOTAL_QUANTITY,PRACTICE_NAME,PCO_NAME,CHEMICAL_SUBSTANCE_BNF_DESCR,YEAR_MONTH,BNF_DESCRIPTION
112.0,HAZELDENE MEDICAL CENTRE,NORTH MANCHESTER CCG,Donepezil hydrochloride,201403,Donepezil 5mg tablets
41.0,BARLOW MEDICAL CENTRE,SOUTH MANCHESTER CCG,Donepezil hydrochloride,201403,Donepezil 10mg tablets
30.0,DROYLSDEN RD FAMILY PRACTICE,NORTH MANCHESTER CCG,Rivastigmine,201403,Rivastigmine 9.5mg/24hours transdermal patches
28.0,BARLOW MEDICAL CENTRE,SOUTH MANCHESTER CCG,Rivastigmine,201403,Rivastigmine 9.5mg/24hours transdermal patches
28.0,DRS HANIF &  BANNURU,NORTH MANCHESTER CCG,Memantine hydrochloride,201403,Memantine 10mg tablets
28.0,WHITLEY ROAD MEDICAL CENTRE,NORTH MANCHESTER CCG,Galantamine,201403,Galantamine 8mg tablets
28.0,PARKSIDE SURGERY,CENTRAL MANCHESTER CCG,Memantine hydrochloride,201403,Memantine 20mg tablets
28.0,UNIDENTIFIED DOCTORS,NORTH MANCHESTER CCG,Memantine hydrochloride,201403,Memantine 20mg tablets
224.0,BENCHILL MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201403,Memantine 10mg tablets
60.0,BODEY MEDICAL CENTRE,SOUTH MANCHESTER CCG,Rivastigmine,201403,Rivastigmine 4.6mg/24hours transdermal patches
28.0,CHORLTON FAMILY PRACTICE,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201403,Donepezil 10mg tablets
28.0,LIME SQUARE MEDICAL CENTRE,NORTH MANCHESTER CCG,Memantine hydrochloride,201403,Memantine 20mg tablets
112.0,KINGSWAY MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201403,Memantine 10mg tablets
30.0,NEW COLLEGIATE MEDICAL CENTRE,NORTH MANCHESTER CCG,Rivastigmine,201403,Rivastigmine 9.5mg/24hours transdermal patches
70.0,NORTHENDEN GROUP PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201403,Memantine 10mg tablets
28.0,BODEY MEDICAL CENTRE,SOUTH MANCHESTER CCG,Galantamine,201403,Galantamine 16mg modified-release capsules
28.0,CORKLAND ROAD MEDICAL PRACTICE,CENTRAL MANCHESTER CCG,Galantamine,201403,Galantamine 16mg modified-release capsules
30.0,BURNAGE HEALTHCARE PRACTICE,SOUTH MANCHESTER CCG,Rivastigmine,201403,Rivastigmine 4.6mg/24hours transdermal patches
48.0,CORNISHWAY GROUP PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201403,Memantine 10mg tablets
28.0,MERSEYBANK SURGERY,SOUTH MANCHESTER CCG,Rivastigmine,201403,Rivastigmine 9.5mg/24hours transdermal patches
30.0,DAVID MEDICAL CENTRE,SOUTH MANCHESTER CCG,Rivastigmine,201403,Rivastigmine 9.5mg/24hours transdermal patches
91.0,NORTHENDEN GROUP PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201403,Memantine 20mg tablets
238.0,BODEY MEDICAL CENTRE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201403,Memantine 10mg tablets
56.0,AILSA CRAIG MEDICAL CENTRE,CENTRAL MANCHESTER CCG,Memantine hydrochloride,201403,Memantine 20mg tablets
30.0,BOWLAND MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Rivastigmine,201403,Rivastigmine 9.5mg/24hours transdermal patches
336.0,THE ALEXANDRA PRACTICE,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201403,Donepezil 10mg tablets
112.0,THE RANGE MEDICAL CENTRE,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201403,Donepezil 10mg tablets
28.0,GORTON MEDICAL CENTRE,CENTRAL MANCHESTER CCG,Memantine hydrochloride,201403,Memantine 20mg tablets
119.0,THE AVENUE MEDICAL CENTRE,NORTH MANCHESTER CCG,Donepezil hydrochloride,201403,Donepezil 10mg tablets
42.0,BEACON MEDICAL CENTRE,NORTH MANCHESTER CCG,Memantine hydrochloride,201403,Memantine 10mg tablets
28.0,SURREY LODGE PRACTICE,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201403,Donepezil 10mg tablets
56.0,LEVENSHULME MEDICAL PRACTICE,CENTRAL MANCHESTER CCG,Memantine hydrochloride,201403,Memantine 10mg tablets
112.0,THE ALEXANDRA PRACTICE,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201403,Donepezil 5mg tablets
168.0,NEWTON HEATH MEDICAL CENTRE,NORTH MANCHESTER CCG,Donepezil hydrochloride,201403,Donepezil 10mg tablets
56.0,THE AVENUE MEDICAL CENTRE,NORTH MANCHESTER CCG,Rivastigmine,201403,Rivastigmine 1.5mg capsules
28.0,THE ALEXANDRA PRACTICE,CENTRAL MANCHESTER CCG,Memantine hydrochloride,201403,Memantine 20mg tablets
84.0,LEVENSHULME MEDICAL PRACTICE,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201403,Donepezil 5mg tablets
30.0,MOUNT ROAD SURGERY,CENTRAL MANCHESTER CCG,Rivastigmine,201403,Rivastigmine 9.5mg/24hours transdermal patches
28.0,DR TIWARI'S PRACTICE,CENTRAL MANCHESTER CCG,Galantamine,201403,Galantamine 24mg modified-release capsules
30.0,GORTON MEDICAL CENTRE,CENTRAL MANCHESTER CCG,Rivastigmine,201403,Rivastigmine 9.5mg/24hours transdermal patches
56.0,THE AVENUE MEDICAL CENTRE,NORTH MANCHESTER CCG,Rivastigmine,201403,Rivastigmine 1.5mg capsules
28.0,THE DOC'S SURGERY,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201403,Donepezil 10mg tablets
28.0,RK MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201403,Memantine 10mg tablets
168.0,BROOKDALE SURGERY,NORTH MANCHESTER CCG,Memantine hydrochloride,201403,Memantine 10mg tablets
112.0,PEEL HALL MEDICAL CENTRE,SOUTH MANCHESTER CCG,Rivastigmine,201403,Rivastigmine 1.5mg capsules
56.0,RK MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Rivastigmine,201403,Rivastigmine 1.5mg capsules
28.0,THE MAPLES MEDICAL CENTRE,SOUTH MANCHESTER CCG,Galantamine,201403,Galantamine 24mg modified-release capsules
56.0,THE WHITSWOOD PRACTICE,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201403,Donepezil 10mg tablets
140.0,WEST GORTON MEDICAL PRACTICE,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201403,Donepezil 10mg tablets
28.0,THE PARK MEDICAL CENTRE,SOUTH MANCHESTER CCG,Donepezil hydrochloride,201403,Donepezil 5mg tablets
14.0,NURSING HOME PROJECT TEAM (SOUTH),SOUTH MANCHESTER CCG,Galantamine,201403,Galantamine 16mg modified-release capsules
56.0,THE MAPLES MEDICAL CENTRE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201403,Memantine 10mg tablets
280.0,RK MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201403,Memantine 10mg tablets
84.0,DRS HANIF &  BANNURU,NORTH MANCHESTER CCG,Donepezil hydrochloride,201403,Donepezil 10mg tablets
112.0,BARLOW MEDICAL CENTRE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201403,Memantine 10mg tablets
28.0,CHEETHAM HILL PRIMARY CARE CENTRE,NORTH MANCHESTER CCG,Galantamine,201403,Galantamine 8mg modified-release capsules
70.0,AL-SHIFA MEDICAL CENTRE,SOUTH MANCHESTER CCG,Rivastigmine,201403,Rivastigmine 4.5mg capsules
21.0,FIVE OAKS FAMILIY PRACTICE,NORTH MANCHESTER CCG,Donepezil hydrochloride,201403,Donepezil 5mg tablets
644.0,HAZELDENE MEDICAL CENTRE,NORTH MANCHESTER CCG,Donepezil hydrochloride,201403,Donepezil 10mg tablets
42.0,BARLOW MEDICAL CENTRE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201403,Memantine 10mg tablets
112.0,VALENTINE MEDICAL CENTRE,NORTH MANCHESTER CCG,Memantine hydrochloride,201403,Memantine 10mg tablets
56.0,OSWALD ROAD MEDICAL PRACTICE,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201403,Donepezil 5mg tablets
100.0,BROOKLANDS MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201403,Memantine 10mg/ml oral solution sugar free
56.0,MAULDETH MEDICAL CENTRE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201403,Memantine 20mg tablets
112.0,CHORLTON FAMILY PRACTICE,CENTRAL MANCHESTER CCG,Memantine hydrochloride,201403,Memantine 10mg tablets
224.0,LADYBARN GROUP PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201403,Memantine 20mg tablets
56.0,NEW COLLEGIATE MEDICAL CENTRE,NORTH MANCHESTER CCG,Memantine hydrochloride,201403,Memantine 10mg tablets
28.0,NORTHENDEN GROUP PRACTICE,SOUTH MANCHESTER CCG,Galantamine,201403,Galantamine 24mg modified-release capsules
56.0,MP VICTORIA MILL,NORTH MANCHESTER CCG,Rivastigmine,201403,Rivastigmine 3mg capsules
56.0,KINGSWAY MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201403,Memantine 20mg tablets
28.0,BENCHILL MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Rivastigmine,201403,Rivastigmine 1.5mg capsules
28.0,LADYBARN GROUP PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201403,Memantine 10mg tablets
28.0,CORNISHWAY GROUP PRACTICE,SOUTH MANCHESTER CCG,Donepezil hydrochloride,201403,Donepezil 10mg tablets
28.0,MERSEYBANK SURGERY,SOUTH MANCHESTER CCG,Memantine hydrochloride,201403,Memantine 10mg tablets
30.0,LADYBARN GROUP PRACTICE,SOUTH MANCHESTER CCG,Rivastigmine,201403,Exelon 4.6mg/24hours transdermal patches
140.0,NORTHENDEN GROUP PRACTICE,SOUTH MANCHESTER CCG,Donepezil hydrochloride,201403,Donepezil 5mg tablets
28.0,DAVID MEDICAL CENTRE,SOUTH MANCHESTER CCG,Galantamine,201403,Galantamine 24mg modified-release capsules
84.0,AILSA CRAIG MEDICAL CENTRE,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201403,Donepezil 10mg tablets
28.0,NORTHENDEN GROUP PRACTICE,SOUTH MANCHESTER CCG,Galantamine,201403,Galantamine 8mg modified-release capsules
28.0,THE AVENUE MEDICAL CENTRE,NORTH MANCHESTER CCG,Rivastigmine,201403,Rivastigmine 9.5mg/24hours transdermal patches
28.0,DR HUSSAIN'S PRACTICE,CENTRAL MANCHESTER CCG,Rivastigmine,201403,Rivastigmine 3mg capsules
28.0,THE ARCH MEDICAL PRACTICE,CENTRAL MANCHESTER CCG,Galantamine,201403,Galantamine 24mg modified-release capsules
28.0,DR CUNNINGHAM & PARTNERS,CENTRAL MANCHESTER CCG,Memantine hydrochloride,201403,Memantine 10mg tablets
200.0,ST GEORGE'S MEDICAL CENTRE,NORTH MANCHESTER CCG,Memantine hydrochloride,201403,Memantine 10mg/ml oral solution sugar free
200.0,THE AVENUE MEDICAL CENTRE,NORTH MANCHESTER CCG,Galantamine,201403,Galantamine 20mg/5ml oral solution sugar free
28.0,DR HUSSAIN'S PRACTICE,CENTRAL MANCHESTER CCG,Rivastigmine,201403,Rivastigmine 1.5mg capsules
56.0,DIDSBURY MEDICAL CENTRE - DR WHITAKER,SOUTH MANCHESTER CCG,Rivastigmine,201403,Rivastigmine 9.5mg/24hours transdermal patches
28.0,KINGSWAY MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Rivastigmine,201403,Rivastigmine 3mg capsules
28.0,THE AVENUE MEDICAL CENTRE,NORTH MANCHESTER CCG,Donepezil hydrochloride,201403,Donepezil 10mg orodispersible tablets sugar free
28.0,THE ARCH MEDICAL PRACTICE,CENTRAL MANCHESTER CCG,Galantamine,201403,Galantamine 16mg modified-release capsules
60.0,NEW COLLEGIATE MEDICAL CENTRE,NORTH MANCHESTER CCG,Rivastigmine,201404,Rivastigmine 9.5mg/24hours transdermal patches
56.0,THE PARK MEDICAL CENTRE,SOUTH MANCHESTER CCG,Galantamine,201404,Galantamine 16mg modified-release capsules
168.0,WILBRAHAM SURGERY,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201404,Donepezil 10mg tablets
56.0,HAZELDENE MEDICAL CENTRE,NORTH MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 10mg tablets
56.0,FIVE OAKS FAMILIY PRACTICE,NORTH MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 10mg tablets
56.0,WEST POINT MEDICAL CENTRE,CENTRAL MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 20mg tablets
150.0,THE MAPLES MEDICAL CENTRE,SOUTH MANCHESTER CCG,Rivastigmine,201404,Rivastigmine 4.6mg/24hours transdermal patches
112.0,HAZELDENE MEDICAL CENTRE,NORTH MANCHESTER CCG,Rivastigmine,201404,Rivastigmine 6mg capsules
504.0,HAZELDENE MEDICAL CENTRE,NORTH MANCHESTER CCG,Donepezil hydrochloride,201404,Donepezil 10mg tablets
56.0,THE MAPLES MEDICAL CENTRE,SOUTH MANCHESTER CCG,Rivastigmine,201404,Rivastigmine 3mg capsules
28.0,THE BORCHARDT MEDICAL CENTRE,SOUTH MANCHESTER CCG,Rivastigmine,201404,Rivastigmine 3mg capsules
28.0,THE ARCH MEDICAL PRACTICE,CENTRAL MANCHESTER CCG,Galantamine,201404,Galantamine 16mg modified-release capsules
112.0,THE BORCHARDT MEDICAL CENTRE,SOUTH MANCHESTER CCG,Galantamine,201404,Galantamine 16mg modified-release capsules
100.0,BARLOW MEDICAL CENTRE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 10mg/ml oral solution sugar free
28.0,THE SINGH MEDICAL PRACTICE,NORTH MANCHESTER CCG,Donepezil hydrochloride,201404,Donepezil 10mg tablets
28.0,VALENTINE MEDICAL CENTRE,NORTH MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 10mg tablets
30.0,DROYLSDEN RD FAMILY PRACTICE,NORTH MANCHESTER CCG,Rivastigmine,201404,Rivastigmine 9.5mg/24hours transdermal patches
56.0,NORTHENDEN GROUP PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 20mg tablets
28.0,ARTANE MEDICAL CENTRE,NORTH MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 10mg tablets
56.0,BEACON MEDICAL CENTRE,NORTH MANCHESTER CCG,Rivastigmine,201404,Rivastigmine 4.5mg capsules
56.0,THE ARCH MEDICAL PRACTICE,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201404,Donepezil 5mg tablets
56.0,RK MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Rivastigmine,201404,Rivastigmine 1.5mg capsules
140.0,PEEL HALL MEDICAL CENTRE,SOUTH MANCHESTER CCG,Rivastigmine,201404,Rivastigmine 1.5mg capsules
280.0,BOWLAND MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 10mg tablets
28.0,NORTHENDEN GROUP PRACTICE,SOUTH MANCHESTER CCG,Galantamine,201404,Galantamine 24mg modified-release capsules
60.0,RK MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Rivastigmine,201404,Rivastigmine 4.6mg/24hours transdermal patches
28.0,BODEY MEDICAL CENTRE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 10mg tablets
400.0,RK MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 10mg/ml oral solution sugar free
56.0,NORTHENDEN GROUP PRACTICE,SOUTH MANCHESTER CCG,Donepezil hydrochloride,201404,Donepezil 10mg tablets
168.0,RK MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Donepezil hydrochloride,201404,Donepezil 5mg tablets
308.0,THE BORCHARDT MEDICAL CENTRE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 20mg tablets
112.0,BROOKDALE SURGERY,NORTH MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 10mg tablets
28.0,EASTLANDS MEDICAL CENTRE,NORTH MANCHESTER CCG,Galantamine,201404,Galantamine 16mg modified-release capsules
112.0,THE WHITSWOOD PRACTICE,CENTRAL MANCHESTER CCG,Rivastigmine,201404,Rivastigmine 1.5mg capsules
112.0,PARK VIEW MEDICAL CENTRE,NORTH MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 10mg tablets
240.0,ST GEORGE'S MEDICAL CENTRE,NORTH MANCHESTER CCG,Rivastigmine,201404,Rivastigmine 2mg/ml oral solution sugar free
28.0,DR TIWARI'S PRACTICE,CENTRAL MANCHESTER CCG,Galantamine,201404,Galantamine 24mg modified-release capsules
56.0,PARK VIEW MEDICAL CENTRE,NORTH MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 20mg tablets
28.0,ST GEORGE'S MEDICAL CENTRE,NORTH MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 20mg tablets
28.0,LEVENSHULME MEDICAL PRACTICE,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201404,Donepezil 5mg tablets
140.0,MOUNT ROAD SURGERY,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201404,Donepezil 10mg tablets
28.0,MAULDETH MEDICAL CENTRE,SOUTH MANCHESTER CCG,Rivastigmine,201404,Rivastigmine 1.5mg capsules
56.0,DROYLSDEN RD FAMILY PRACTICE,NORTH MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 10mg tablets
90.0,BROOKLANDS MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Rivastigmine,201404,Rivastigmine 4.6mg/24hours transdermal patches
7.0,LADYBARN GROUP PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 10mg tablets
28.0,PARKSIDE SURGERY,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201404,Donepezil 10mg tablets
112.0,DIDSBURY MEDICAL CENTRE - DR WHITAKER,SOUTH MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 20mg tablets
56.0,DR KHAN'S PRACTICE,NORTH MANCHESTER CCG,Donepezil hydrochloride,201404,Donepezil 5mg tablets
60.0,LADYBARN GROUP PRACTICE,SOUTH MANCHESTER CCG,Rivastigmine,201404,Rivastigmine 9.5mg/24hours transdermal patches
56.0,DROYLSDEN RD FAMILY PRACTICE,NORTH MANCHESTER CCG,Donepezil hydrochloride,201404,Donepezil 5mg tablets
28.0,FERNCLOUGH SURGERY,NORTH MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 10mg tablets
56.0,CORNISHWAY GROUP PRACTICE,SOUTH MANCHESTER CCG,Galantamine,201404,Galantamine 8mg modified-release capsules
84.0,DIDSBURY MEDICAL CENTRE- DR ASHWORTH,SOUTH MANCHESTER CCG,Donepezil hydrochloride,201404,Donepezil 5mg tablets
56.0,OSWALD ROAD MEDICAL PRACTICE,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201404,Donepezil 5mg tablets
56.0,FIVE OAKS FAMILIY PRACTICE,NORTH MANCHESTER CCG,Donepezil hydrochloride,201404,Aricept 5mg tablets
70.0,THE PARK MEDICAL CENTRE,SOUTH MANCHESTER CCG,Rivastigmine,201404,Rivastigmine 6mg capsules
30.0,MP VICTORIA MILL,NORTH MANCHESTER CCG,Rivastigmine,201404,Rivastigmine 4.6mg/24hours transdermal patches
112.0,NEW COLLEGIATE MEDICAL CENTRE,NORTH MANCHESTER CCG,Galantamine,201404,Galantamine 12mg tablets
56.0,WILBRAHAM SURGERY,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201404,Donepezil 5mg tablets
56.0,THE MAPLES MEDICAL CENTRE,SOUTH MANCHESTER CCG,Donepezil hydrochloride,201404,Donepezil 10mg tablets
56.0,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,NORTH MANCHESTER CCG,Donepezil hydrochloride,201404,Donepezil 10mg tablets
28.0,PEEL HALL MEDICAL CENTRE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 20mg tablets
35.0,BOWLAND MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Donepezil hydrochloride,201404,Donepezil 10mg tablets
196.0,PRINCESS ROAD SURGERY,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201404,Donepezil 10mg tablets
56.0,BENCHILL MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Galantamine,201404,Galantamine 16mg modified-release capsules
196.0,VALENTINE MEDICAL CENTRE,NORTH MANCHESTER CCG,Donepezil hydrochloride,201404,Donepezil 10mg tablets
112.0,THE ALEXANDRA PRACTICE,CENTRAL MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 10mg tablets
30.0,THE NEVILLE FAMILY CENTRE,NORTH MANCHESTER CCG,Rivastigmine,201404,Rivastigmine 9.5mg/24hours transdermal patches
28.0,THE BORCHARDT MEDICAL CENTRE,SOUTH MANCHESTER CCG,Rivastigmine,201404,Rivastigmine 6mg capsules
21.0,NURSING HOME PROJECT TEAM (SOUTH),SOUTH MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 20mg tablets
56.0,CHORLTON FAMILY PRACTICE,CENTRAL MANCHESTER CCG,Galantamine,201404,Galantamine 8mg modified-release capsules
56.0,NORTHERN MOOR MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 10mg tablets
84.0,BEACON MEDICAL CENTRE,NORTH MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 20mg tablets
56.0,THE RANGE MEDICAL CENTRE,CENTRAL MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 10mg tablets
35.0,WOODLANDS MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 20mg tablets
150.0,BENCHILL MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 10mg/ml oral solution sugar free
28.0,BEACON MEDICAL CENTRE,NORTH MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 10mg tablets
28.0,THE ROBERT DARBISHIRE PRACTICE,CENTRAL MANCHESTER CCG,Galantamine,201404,Galantamine 8mg modified-release capsules
28.0,THE WHITSWOOD PRACTICE,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201404,Donepezil 10mg tablets
21.0,WEST GORTON MEDICAL PRACTICE,CENTRAL MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 20mg tablets
56.0,THE ROBERT DARBISHIRE PRACTICE,CENTRAL MANCHESTER CCG,Galantamine,201404,Galantamine 24mg modified-release capsules
28.0,WHITLEY ROAD MEDICAL CENTRE,NORTH MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 20mg tablets
56.0,MANCHESTER MEDICAL,CENTRAL MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 20mg tablets
56.0,BROOKLANDS MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Rivastigmine,201404,Rivastigmine 1.5mg capsules
56.0,DROYLSDEN RD FAMILY PRACTICE,NORTH MANCHESTER CCG,Galantamine,201404,Galantamine 8mg modified-release capsules
84.0,OSWALD ROAD MEDICAL PRACTICE,CENTRAL MANCHESTER CCG,Galantamine,201404,Galantamine 8mg tablets
56.0,CHARLESTOWN MD,NORTH MANCHESTER CCG,Rivastigmine,201404,Rivastigmine 9.5mg/24hours transdermal patches
14.0,AL-SHIFA MEDICAL CENTRE,SOUTH MANCHESTER CCG,Rivastigmine,201404,Rivastigmine 4.5mg capsules
35.0,CORNISHWAY GROUP PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 10mg tablets
56.0,FERNCLOUGH SURGERY,NORTH MANCHESTER CCG,Donepezil hydrochloride,201404,Donepezil 10mg tablets
28.0,DIDSBURY MEDICAL CENTRE - DR WHITAKER,SOUTH MANCHESTER CCG,Galantamine,201404,Galantamine 16mg modified-release capsules
56.0,BURNAGE HEALTHCARE PRACTICE,SOUTH MANCHESTER CCG,Galantamine,201404,Galantamine 24mg modified-release capsules
28.0,PARKSIDE SURGERY,CENTRAL MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 20mg tablets
56.0,AL-SHIFA MEDICAL CENTRE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 20mg tablets
56.0,BURNAGE HEALTHCARE PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 10mg tablets
84.0,DR KHAN'S PRACTICE,NORTH MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 20mg tablets
56.0,FALLOWFIELD MEDICAL CENTRE,SOUTH MANCHESTER CCG,Donepezil hydrochloride,201404,Donepezil 10mg tablets
56.0,BROOKLANDS MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Donepezil hydrochloride,201404,Donepezil 10mg tablets
28.0,WILMSLOW ROAD SURGERY,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201404,Donepezil 10mg tablets
28.0,JOLLY MEDICAL CENTRE,NORTH MANCHESTER CCG,Rivastigmine,201404,Rivastigmine 3mg capsules
112.0,LIME SQUARE MEDICAL CENTRE,NORTH MANCHESTER CCG,Donepezil hydrochloride,201404,Donepezil 10mg tablets
28.0,NEW COLLEGIATE MEDICAL CENTRE,NORTH MANCHESTER CCG,Donepezil hydrochloride,201404,Aricept 10mg tablets
56.0,WOODLANDS MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 20mg tablets
11.0,THE ALEXANDRA PRACTICE,CENTRAL MANCHESTER CCG,Rivastigmine,201404,Rivastigmine 9.5mg/24hours transdermal patches
56.0,CHORLTON FAMILY PRACTICE,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201404,Donepezil 10mg tablets
28.0,THE NEVILLE FAMILY CENTRE,NORTH MANCHESTER CCG,Donepezil hydrochloride,201404,Donepezil 10mg tablets
28.0,WELLFIELD MEDICAL CENTRE,NORTH MANCHESTER CCG,Donepezil hydrochloride,201404,Donepezil 5mg tablets
168.0,THE ARCH MEDICAL PRACTICE,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201404,Donepezil 10mg tablets
56.0,BODEY MEDICAL CENTRE,SOUTH MANCHESTER CCG,Donepezil hydrochloride,201404,Donepezil 5mg tablets
112.0,NURSING HOME PROJECT TEAM (SOUTH),SOUTH MANCHESTER CCG,Rivastigmine,201404,Rivastigmine 3mg capsules
56.0,NORTHENDEN GROUP PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 10mg tablets
84.0,WELLFIELD MEDICAL CENTRE,NORTH MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 20mg tablets
56.0,RK MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 10mg tablets
112.0,SURREY LODGE PRACTICE,CENTRAL MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 10mg tablets
28.0,BENCHILL MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Galantamine,201404,Galantamine 8mg tablets
28.0,CORNBROOK MEDICAL PRACTICE,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201404,Donepezil 5mg tablets
70.0,CORKLAND ROAD MEDICAL PRACTICE,CENTRAL MANCHESTER CCG,Rivastigmine,201404,Rivastigmine 1.5mg capsules
98.0,BODEY MEDICAL CENTRE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201404,Memantine 10mg tablets
56.0,ASHVILLE SURGERY,CENTRAL MANCHESTER CCG,Rivastigmine,201404,Rivastigmine 4.5mg capsules
